trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
742,False,"{'a': 0.4, 'e': 0.83537590211569523}",35,0,-139.64026571111427,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
743,False,"{'a': 0.4, 'e': 0.83494392756129165}",25,0,-125.22387690740658,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
744,False,"{'a': 0.4, 'e': 0.83451143797152327}",30,0,-170.68307602168483,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
745,False,"{'a': 0.4, 'e': 0.83407843361317113}",25,0,-152.75156874679254,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",1
746,False,"{'a': 0.4, 'e': 0.83364491475333435}",25,0,-124.4924975096809,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
747,False,"{'a': 0.4, 'e': 0.83321088165942903}",25,0,-96.43830278128497,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
748,False,"{'a': 0.4, 'e': 0.83277633459918854}",20,0,-119.10123184398812,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
749,False,"{'a': 0.4, 'e': 0.83234127384066348}",25,0,-66.63092660020308,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
750,False,"{'a': 0.4, 'e': 0.83190569965222094}",20,0,-135.32277526110357,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
751,False,"{'a': 0.4, 'e': 0.83146961230254524}",25,0,-115.85290556561303,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
752,False,"{'a': 0.4, 'e': 0.83103301206063684}",30,0,-215.037023491489,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
753,False,"{'a': 0.4, 'e': 0.83059589919581267}",20,6,-82.43806770035953,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
754,False,"{'a': 0.4, 'e': 0.83015827397770592}",25,0,-25.443013376776122,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
755,False,"{'a': 0.4, 'e': 0.82972013667626587}",20,0,-76.5842110322676,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
756,False,"{'a': 0.4, 'e': 0.82928148756175757}",25,12,-53.4074064488034,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
757,False,"{'a': 0.4, 'e': 0.82884232690476189}",25,0,-87.34438077783126,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
758,False,"{'a': 0.4, 'e': 0.82840265497617516}",35,0,-238.3665308369025,"{0: 20, 1: 2, 2: 7, 3: 3, 4: 3}",0
759,False,"{'a': 0.4, 'e': 0.82796247204720907}",35,21,-59.47494700036578,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
760,False,"{'a': 0.4, 'e': 0.82752177838939067}",25,0,-72.59523373764138,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
761,False,"{'a': 0.4, 'e': 0.82708057427456183}",30,0,-152.7097766049513,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
762,False,"{'a': 0.4, 'e': 0.82663885997487951}",20,0,-120.03717381704004,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
763,False,"{'a': 0.4, 'e': 0.82619663576281521}",20,0,-75.16075510388178,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
764,False,"{'a': 0.4, 'e': 0.82575390191115505}",20,0,-81.86581911841124,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
765,False,"{'a': 0.4, 'e': 0.82531065869299958}",30,10,-159.0406831198836,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",1
766,False,"{'a': 0.4, 'e': 0.82486690638176341}",25,0,-108.66450644447262,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
767,False,"{'a': 0.4, 'e': 0.82442264525117537}",25,0,-88.22845122306605,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
768,False,"{'a': 0.4, 'e': 0.82397787557527791}",20,0,-55.89254956754323,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
769,False,"{'a': 0.4, 'e': 0.82353259762842745}",20,0,-12.319416037403357,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
770,False,"{'a': 0.4, 'e': 0.82308681168529363}",20,8,-27.9693536655389,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
771,False,"{'a': 0.4, 'e': 0.8226405180208598}",20,0,-62.65903957736761,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
772,False,"{'a': 0.4, 'e': 0.8221937169104222}",25,0,-118.96138247337038,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
773,False,"{'a': 0.4, 'e': 0.82174640862959025}",20,0,-66.4506212883832,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
774,False,"{'a': 0.4, 'e': 0.82129859345428613}",20,3,-158.1726601554065,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 3}",1
775,False,"{'a': 0.4, 'e': 0.82085027166074476}",20,0,-85.99392520721665,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
776,False,"{'a': 0.4, 'e': 0.82040144352551359}",30,0,-78.62156463853267,"{0: 22, 1: 1, 2: 4, 3: 3, 4: 0}",0
777,False,"{'a': 0.4, 'e': 0.81995210932545226}",20,3,-81.84951941589463,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
778,False,"{'a': 0.4, 'e': 0.81950226933773285}",20,0,-80.48361977772953,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
779,False,"{'a': 0.4, 'e': 0.81905192383983916}",30,11,-75.40662732167598,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 2}",1
780,False,"{'a': 0.4, 'e': 0.81860107310956687}",30,0,-224.539826945038,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
781,False,"{'a': 0.4, 'e': 0.8181497174250234}",25,2,-118.6537863830375,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",1
782,False,"{'a': 0.4, 'e': 0.81769785706462761}",25,0,-63.02981033243094,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
783,False,"{'a': 0.4, 'e': 0.81724549230710986}",20,0,-68.99201441785176,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
784,False,"{'a': 0.4, 'e': 0.81679262343151116}",30,0,-152.47081149565398,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
785,False,"{'a': 0.4, 'e': 0.81633925071718405}",25,0,-58.55986277461017,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
786,False,"{'a': 0.4, 'e': 0.81588537444379128}",25,0,-86.91388242471086,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
787,False,"{'a': 0.4, 'e': 0.81543099489130677}",25,0,-166.06783628756722,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
788,False,"{'a': 0.4, 'e': 0.81497611234001466}",30,0,-71.79557216843973,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
789,False,"{'a': 0.4, 'e': 0.81452072707050938}",20,0,-48.71335878909834,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
790,False,"{'a': 0.4, 'e': 0.81406483936369534}",20,0,-38.04219779059118,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
791,False,"{'a': 0.4, 'e': 0.81360844950078703}",20,8,-6.722958331362175,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
792,False,"{'a': 0.4, 'e': 0.81315155776330861}",20,7,-19.42589797537533,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
793,False,"{'a': 0.4, 'e': 0.81269416443309395}",20,0,-150.24398625530537,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
794,False,"{'a': 0.4, 'e': 0.81223626979228614}",20,0,-31.40791651718186,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
795,False,"{'a': 0.4, 'e': 0.81177787412333768}",20,9,-47.49281852204059,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
796,False,"{'a': 0.4, 'e': 0.81131897770900996}",20,0,-150.5396562723722,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
797,False,"{'a': 0.4, 'e': 0.81085958083237342}",25,13,-45.956064379224635,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
798,False,"{'a': 0.4, 'e': 0.81039968377680716}",25,0,-143.75034483693835,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
799,False,"{'a': 0.4, 'e': 0.80993928682599869}",20,0,-45.57748944578582,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
800,False,"{'a': 0.4, 'e': 0.80947839026394408}",20,0,-25.97943235503782,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
801,False,"{'a': 0.4, 'e': 0.80901699437494745}",25,0,-124.67056337244296,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
802,False,"{'a': 0.4, 'e': 0.80855509944362081}",30,0,-114.57160891907176,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
803,False,"{'a': 0.4, 'e': 0.80809270575488457}",20,0,-68.02214070464153,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
804,False,"{'a': 0.4, 'e': 0.80762981359396591}",20,0,-44.78727788153201,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
805,False,"{'a': 0.4, 'e': 0.80716642324640031}",20,7,-33.41352171391336,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
806,False,"{'a': 0.4, 'e': 0.80670253499802991}",20,0,-155.39125976174603,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
807,False,"{'a': 0.4, 'e': 0.80623814913500469}",20,7,-44.5802672897761,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
808,False,"{'a': 0.4, 'e': 0.80577326594378096}",25,0,-92.41119757751822,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
809,False,"{'a': 0.4, 'e': 0.80530788571112188}",20,0,-51.58708848468143,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
810,False,"{'a': 0.4, 'e': 0.80484200872409772}",25,0,-69.95445177247971,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
811,False,"{'a': 0.4, 'e': 0.80437563527008438}",25,0,-90.68389488087504,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
812,False,"{'a': 0.4, 'e': 0.80390876563676494}",20,0,-125.61065875176415,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
813,False,"{'a': 0.4, 'e': 0.8034414001121275}",25,0,-138.5523687989712,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
814,False,"{'a': 0.4, 'e': 0.80297353898446711}",20,0,-126.32735070534217,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
815,False,"{'a': 0.4, 'e': 0.80250518254238368}",25,3,12.843659986248143,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
816,False,"{'a': 0.4, 'e': 0.80203633107478312}",20,8,-57.375853254381525,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
817,False,"{'a': 0.4, 'e': 0.80156698487087663}",30,0,-94.78744733684302,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
818,False,"{'a': 0.4, 'e': 0.8010971442201803}",20,0,-120.56856997750201,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
819,False,"{'a': 0.4, 'e': 0.80062680941251574}",30,0,-63.19870635497476,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
820,False,"{'a': 0.4, 'e': 0.80015598073800875}",20,0,-83.41605268541583,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
821,False,"{'a': 0.4, 'e': 0.79968465848709058}",30,0,-63.62841998856008,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
822,False,"{'a': 0.4, 'e': 0.79921284295049599}",30,0,-121.66222117068483,"{0: 20, 1: 3, 2: 3, 3: 3, 4: 1}",0
823,False,"{'a': 0.4, 'e': 0.79874053441926485}",20,0,-15.71056945957753,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
824,False,"{'a': 0.4, 'e': 0.79826773318474076}",20,0,-24.190128564719217,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
825,False,"{'a': 0.4, 'e': 0.79779443953857099}",20,0,-88.38677608514432,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
826,False,"{'a': 0.4, 'e': 0.79732065377270711}",20,0,-131.96527050429899,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
827,False,"{'a': 0.4, 'e': 0.7968463761794039}",30,0,-212.03656991820154,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 5}",0
828,False,"{'a': 0.4, 'e': 0.79637160705121968}",25,0,-69.97519883785274,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
829,False,"{'a': 0.4, 'e': 0.79589634668101583}",25,0,-46.59993676630603,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
